# Barcodes: 0003;0005;0007-0012,,,,,,,,,,,,
# Description: This is a template file for plate layouts. It can be directly edited with a plain text editor or in a spread sheet program,,,,,,,,,,,,
# rows=8 ; columns=12,,,,,,,,,,,,
# Entry format: Type:Description; supported types: S: sample; R: reference; pCTRL: postitive control; nCTRL: negative control; BL: blank; 0: empty well,,,,,,,,,,,,
# in case ALL fields of the substrate, cofactor or enzyme specifications are  empty, the standard concentrations in the header comment are  assumed for all fields.,,,,,,,,,,,,
# A zero (0) in a field means that no Substrate/Cofactor/Enzyme was added => concentration = 0. Conc.,,,,,,,,,,,,
# NA means, concentration was not determined. NA is also assumed, if no header concentration is given.,,,,,,,,,,,,
# concentration_unit: uM ; volume_unit : ul; possible units: uM mM  M uL mL L,,,,,,,,,,,,
HEAD_DESCR,1,2,3,4,5,6,7,8,9,10,11,12
A,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5
B,201,200,200,200,200,200,200,200,200,200,200,200
C,200,200,200,200,200,200,200,200,200,200,200,200
D,200,200,200,200,200,200,200,200,200,200,200,200
E,200,201,202,203,204,205,206,207,208,209,210,211
F,200,200,200,200,200,200,200,200,200,200,200,200
G,200,200,200,200,200,200,200,200,200,200,200,200
H,200,200,200,200,200,200,200,200,200,200,200,200
# Addition 1: Substrate1,,,,,,,,,,,,
HEAD_SUBSTR1,1,2,3,4,5,6,7,8,9,10,11,12
A,S-PBA: 0.1 ,S-PBA : 0.35 ,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA
B,S-PBA: 0.3 ,S-PBA,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA: 0.3,S-PPA: 0.3,S-PPA: 0.3,S-PPA: 0.3,S-PPA: 0.3
C,S-PBA: 0.1 ,S-PBA,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA
D,S-PBA: 0.1 ,S-PBA,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA
E,S-PBA: 0.1 ,S-PBA,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA: 0.7,S-PPA: 0.7,S-PPA: 0.7,S-PPA: 0.7,S-PPA: 0.7
F,S-PBA: 0.1 ,S-PBA,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA
G,0,S-PBA ,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA,0
H,0,S-PBA ,S-PBA,S-PBA,S-PBA,0,S-PPA,S-PPA,S-PPA,S-PPA,S-PPA,0
# Addition 2: Substrate2,,,,,,,,,,,,
HEAD_SUBSTR2,1,2,3,4,5,6,7,8,9,10,11,12
A,pyruvate: 0.42,pyruvate : 0.45,pyruvate : 0.89,pyruvate : 1.454,pyruvate,pyruvate,propanal,propanal,propanal,propanal,propanal,propanal
B,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,propanal,propanal,propanal,propanal,propanal,propanal
C,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,propanal,propanal,propanal,propanal,propanal,propanal
D,pyruvate : 0.45,pyruvate : 0.46,pyruvate : 0.47,pyruvate : 0.48,pyruvate : 0.49,pyruvate : 0.50,propanal,propanal,propanal,propanal,propanal,propanal
E,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,propanal,propanal,propanal,propanal,propanal,propanal
F,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,propanal,propanal,propanal,propanal,propanal,propanal
G,0,0,0,0,0,0,propanal,propanal,propanal,propanal,propanal,propanal
H,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,pyruvate,propanal,propanal,propanal,propanal,propanal,propanal

